Date,CpuAllocation,CpuLimit,CpuUsed,MemoryAllocation,MemoryLimit,MemoryUsed
1359676800,32990,32990,20540,204800,204800,102912
1359698400,32990,32990,20540,204800,204800,102912
1359720000,32990,32990,20540,204800,204800,102912
1359741600,32990,32990,20540,204800,204800,102912
1359763200,32990,32990,20540,204800,204800,102912
1359784800,32990,32990,20540,204800,204800,102912
1359806400,32990,32990,20540,204800,204800,102912
1359828000,32990,32990,20540,204800,204800,102912
1359849600,32990,32990,20540,204800,204800,102912
1359871200,32990,32990,20540,204800,204800,102912
1359892800,NAN,NAN,NAN,NAN,NAN,NAN
1359914400,NAN,NAN,NAN,NAN,NAN,NAN
1359936000,NAN,NAN,NAN,NAN,NAN,NAN
1359957600,NAN,NAN,NAN,NAN,NAN,NAN
1359979200,32990,32990,20540,204800,204800,102912
1360000800,32990,32990,20132.233333333,204800,204800,99359.857777778
1360022400,32990,32990,20540,204800,204800,102912
1360044000,32990,32990,20540,204800,204800,102912
1360065600,32990,32990,20540,204800,204800,102912
1360087200,35979.310648148,35979.310648148,20717.955555556,204800,204800,104318.95703704
1360108800,40000,40000,24403.046296296,204800,204800,134364.91851852
1360130400,40000,40000,24440,204800,204800,134656
1360152000,40000,40000,24890.829166667,204800,204800,137370.32666667
1360173600,40000,40000,31865.864814815,204800,204800,163457.92
1360195200,40000,40000,35360,204800,204800,177152
1360216800,40000,40000,35360,204800,204800,177152
1360238400,40000,40000,35360,204800,204800,177152
1360260000,40637.731481481,40637.731481481,36128.841666667,208208.59259259,208208.59259259,183162.64296296
1360281600,45000,45000,39520,225280,225280,209920
1360303200,45000,45000,39520,225280,225280,209920
1360324800,45000,45000,32936.318518519,225280,225280,183990.4237037
1360346400,45000,45000,27151.222222222,225280,225280,161206.04444444
1360368000,45000,45000,27040,225280,225280,160768
1360389600,45000,45000,27040,225280,225280,160768
1360411200,45000,45000,27040,225280,225280,160768
1360432800,45000,45000,27040,225280,225280,160768
1360454400,45000,45000,27040,225280,225280,160768
1360476000,45000,45000,27040,225280,225280,160768
1360497600,NAN,NAN,NAN,NAN,NAN,NAN
1360519200,NAN,NAN,NAN,NAN,NAN,NAN
1360540800,NAN,NAN,NAN,NAN,NAN,NAN
1360562400,NAN,NAN,NAN,NAN,NAN,NAN
1360584000,45000,45000,27040,225280,225280,160768
1360605600,45000,45000,27562.696296296,225280,225280,163247.45481481
1360627200,45000,45000,28080,225280,225280,165888
1360648800,45000,45000,28080,225280,225280,165888
1360670400,45000,45000,28075.666666667,225280,225280,165853.86666667
1360692000,45000,45000,26853.943518519,225280,225280,156157.72444444
1360713600,45000,45000,34060,225280,225280,206848
1360735200,45000,45000,34060,225280,225280,206848
1360756800,45000,45000,34051.333333333,225280,225280,206813.86666667
1360778400,45000,45000,34103.333333333,225280,225280,207189.33333333
1360800000,45000,45000,34060,225280,225280,206848
1360821600,45000,45000,34060,225280,225280,206848
